percent,discount,links,size,black_friday,euro,respect,question,order,name,sale,capital_letters,lowercase_letters,num_of_files,recipients,exclamation,file,unsubscribe,receipt,forward,photo,letters,thanks,space,period,subject,comma,privacy_policy,offer,class
0,0,0,1756,0,0,0,1,0,0,0,69,1175,4,0,0,1,0,0,0,0,1756,0,180,27,19,19,0,0,non-advertisement
0,0,0,762,0,0,0,0,0,0,0,46,368,2,0,0,1,0,0,0,0,762,0,68,9,29,4,0,0,non-advertisement
2,0,0,2303,0,1,0,0,0,0,0,88,1193,1,0,4,0,0,1,0,0,2303,1,434,20,29,9,0,0,non-advertisement
0,0,0,1705,0,0,0,1,0,0,0,71,1194,5,0,0,1,0,0,0,0,1705,0,182,28,19,20,0,0,non-advertisement
0,0,1,937,0,0,0,2,0,0,0,56,511,1,0,0,1,0,0,0,0,937,0,48,13,17,2,0,0,non-advertisement
0,0,0,401,0,0,0,0,0,0,0,70,80,1,0,0,1,0,0,0,0,401,0,16,3,1,0,0,0,non-advertisement
0,0,0,362,0,0,0,0,0,0,0,33,84,1,0,0,1,0,0,0,0,362,0,11,3,16,0,0,0,non-advertisement
0,0,0,543,0,0,0,0,0,1,0,37,181,1,0,0,1,0,0,1,0,543,0,28,10,5,2,0,0,non-advertisement
0,0,1,754,0,0,0,2,0,0,0,57,331,1,0,0,1,0,0,0,0,754,0,19,11,20,2,0,0,non-advertisement
0,0,1,1135,0,0,0,2,0,0,0,61,612,1,0,0,1,0,0,0,0,1135,0,100,16,15,2,0,0,non-advertisement
0,0,0,375,0,0,0,0,0,0,0,33,95,1,0,0,1,0,0,0,0,375,0,14,3,27,0,0,0,non-advertisement
0,0,0,377,0,0,0,0,0,0,0,36,88,1,0,0,1,0,0,0,0,377,0,20,3,1,0,0,0,non-advertisement
0,0,1,456,0,0,0,0,0,0,0,37,153,1,0,0,1,0,0,0,0,456,0,19,5,39,1,0,0,non-advertisement
0,0,0,374,0,0,0,0,0,0,0,47,80,1,0,0,1,0,0,0,0,374,0,14,3,17,0,0,0,non-advertisement
0,0,1,483,0,0,0,1,0,0,0,73,139,1,0,0,1,0,0,0,0,483,0,14,5,21,0,0,0,non-advertisement
0,0,0,389,0,0,0,0,0,0,0,76,61,1,0,0,1,0,0,0,0,389,0,17,3,36,0,0,0,non-advertisement
0,0,0,385,0,0,0,0,0,0,0,33,105,1,0,0,1,0,0,0,0,385,0,14,3,28,0,0,0,non-advertisement
0,0,0,370,0,0,0,0,0,0,0,69,53,1,0,0,1,0,0,0,0,370,0,12,4,1,0,0,0,non-advertisement
0,0,0,392,0,0,0,0,0,0,0,31,110,1,0,0,1,0,0,0,0,392,0,15,4,38,0,0,0,non-advertisement
0,0,0,382,0,0,0,0,0,0,0,69,61,1,0,0,1,0,0,0,0,382,0,14,3,22,0,0,0,non-advertisement
0,0,1,1490,0,0,0,2,0,1,0,57,794,1,0,0,0,0,0,0,0,1490,0,189,18,19,5,0,0,non-advertisement
0,0,0,392,0,0,0,0,0,0,0,69,69,1,0,0,1,0,0,0,0,392,0,14,3,32,0,0,0,non-advertisement
0,0,0,562,0,0,0,0,0,1,0,27,264,1,0,0,0,0,0,0,0,562,0,33,9,1,8,0,0,non-advertisement
0,0,1,969,0,0,0,0,0,1,0,50,501,1,0,0,1,0,0,0,0,969,0,57,18,4,11,0,0,non-advertisement
0,0,0,391,0,0,0,0,0,0,0,33,108,1,0,0,1,0,0,0,0,391,0,12,3,16,0,0,0,non-advertisement
0,0,0,376,0,0,0,0,0,0,0,47,80,1,0,0,1,0,0,0,0,376,0,15,3,17,0,0,0,non-advertisement
0,0,0,365,0,0,0,0,0,0,0,32,92,1,0,0,1,0,0,0,0,365,0,11,4,27,0,0,0,non-advertisement
0,0,0,362,0,0,0,0,0,0,0,41,76,1,0,0,1,0,0,0,0,362,0,12,3,9,0,0,0,non-advertisement
0,0,1,589,0,0,0,1,0,0,0,36,280,1,0,0,0,0,0,0,0,589,0,32,9,14,1,0,0,non-advertisement
0,0,0,351,0,0,0,0,0,0,0,38,68,1,0,0,1,0,0,0,0,351,0,12,3,8,0,0,0,non-advertisement
0,0,0,353,0,0,0,0,0,0,0,32,77,1,0,0,1,0,0,0,0,353,0,13,3,6,0,0,0,non-advertisement
0,0,1,782,0,0,0,2,0,1,0,59,376,1,0,0,1,0,0,0,0,782,0,23,11,11,2,0,0,non-advertisement
0,0,0,330,0,0,0,0,0,0,0,30,61,1,0,0,1,0,0,0,0,330,0,9,4,1,0,0,0,non-advertisement
0,0,0,395,0,0,0,0,0,0,0,32,114,2,0,0,1,0,0,0,0,395,0,13,5,11,1,0,0,non-advertisement
0,0,0,353,0,0,0,0,0,0,0,32,77,1,0,0,1,0,0,0,0,353,0,13,3,6,0,0,0,non-advertisement
0,0,0,350,0,0,0,0,0,0,0,31,72,1,0,0,1,0,0,0,0,350,0,13,4,1,0,0,0,non-advertisement
0,0,0,346,0,0,0,0,0,0,0,31,68,1,0,0,1,0,0,0,0,346,0,13,4,1,0,0,0,non-advertisement
0,0,0,344,0,0,0,0,0,0,0,31,72,1,0,0,1,0,0,0,0,344,0,9,4,9,0,0,0,non-advertisement
0,0,0,333,0,0,0,0,0,0,0,31,62,1,0,0,1,0,0,0,0,333,0,9,3,9,0,0,0,non-advertisement
