@relation emails_data

@attribute percent numeric
@attribute discount {0,1}
@attribute links {0,1}
@attribute size numeric
@attribute black_friday {0,1}
@attribute euro {0,1}
@attribute respect {0,1}
@attribute question numeric
@attribute order {0,1}
@attribute name {0,1}
@attribute sale numeric
@attribute capital_letters numeric
@attribute lowercase_letters numeric
@attribute num_of_files numeric
@attribute recipients {0,1}
@attribute exclamation numeric
@attribute file {0,1}
@attribute unsubscribe {0,1}
@attribute receipt {0,1}
@attribute forward {0,1}
@attribute photo {0,1}
@attribute letters numeric
@attribute thanks {0,1}
@attribute space numeric
@attribute period numeric
@attribute subject numeric
@attribute comma numeric
@attribute privacy_policy {0,1}
@attribute offer {0,1}
@attribute class {advertisement,non-advertisement}

@data
3,0,1,3136,0,0,0,8,0,0,0,93,1646,1,0,2,0,1,0,0,0,3136,0,154,38,35,8,1,0,advertisement
3,1,0,1462,0,0,0,0,1,0,1,115,860,1,0,0,0,1,0,0,0,1462,0,199,21,27,18,1,1,advertisement
3,1,0,1407,0,0,0,0,1,0,1,110,825,1,0,0,0,1,0,0,0,1407,0,193,20,27,18,1,1,advertisement
3,0,1,4378,0,0,0,9,0,0,1,724,2416,1,0,4,0,0,0,0,0,4378,0,339,38,45,6,0,0,advertisement
2,1,0,1201,0,0,0,0,0,0,0,78,677,1,0,4,0,0,0,0,0,1201,0,130,11,47,11,0,1,advertisement
3,1,0,1233,0,0,0,1,0,0,0,76,698,1,0,4,0,0,0,0,0,1233,0,134,9,54,8,0,1,advertisement
9,0,1,3767,0,0,0,23,0,0,1,164,1956,1,0,1,0,1,0,0,0,3767,0,174,73,52,3,0,1,advertisement
3,1,0,1415,0,0,0,0,1,0,1,102,835,1,0,0,0,1,0,0,0,1415,0,196,21,35,19,1,1,advertisement
1,1,1,845,0,0,0,1,0,0,0,58,383,1,0,0,0,1,0,0,0,845,0,42,10,35,1,0,1,advertisement
3,1,0,1476,0,0,0,0,1,0,1,107,877,1,0,1,0,1,0,0,0,1476,0,203,21,41,18,1,1,advertisement
3,1,0,1421,0,0,0,0,1,0,1,102,842,1,0,1,0,1,0,0,0,1421,0,197,20,41,18,1,1,advertisement
3,1,0,2827,0,1,0,0,0,0,0,397,1718,1,0,11,0,0,0,0,0,2827,0,350,30,100,18,0,1,advertisement
2,1,1,6450,0,0,0,26,0,0,0,249,3364,1,0,0,0,0,0,0,0,6450,0,282,103,20,15,0,1,advertisement
3,1,0,1468,0,0,0,0,1,0,1,105,872,1,0,0,0,1,0,0,0,1468,0,202,21,33,18,1,1,advertisement
1,0,0,345,0,0,0,0,0,0,0,29,96,1,0,0,0,0,0,0,0,345,0,18,2,72,0,0,1,advertisement
3,1,0,1413,0,0,0,0,1,0,1,100,837,1,0,0,0,1,0,0,0,1413,0,196,20,33,18,1,1,advertisement
4,1,1,4314,0,1,0,13,0,0,0,646,2466,1,0,2,0,0,0,0,0,4314,0,322,38,46,7,0,1,advertisement
0,0,0,320,0,0,0,3,0,0,0,31,70,1,0,1,0,0,0,0,0,320,0,12,4,27,0,0,0,advertisement
1,0,1,4753,0,1,0,20,0,1,0,169,2269,1,0,3,0,1,0,0,0,4753,0,189,87,58,5,0,0,advertisement
9,0,1,3768,0,0,0,23,0,0,1,160,1975,1,0,1,0,1,0,0,0,3768,0,175,73,52,3,0,1,advertisement
2,1,1,6434,0,0,0,34,1,0,1,193,2945,1,0,0,0,1,0,0,0,6434,0,170,108,28,1,1,1,advertisement
0,0,1,895,0,0,1,0,0,0,0,160,405,1,0,2,0,0,0,0,0,895,0,42,15,43,3,0,0,advertisement
3,1,0,1408,0,0,0,0,0,0,0,67,887,1,0,3,0,0,0,0,0,1408,0,148,13,44,9,0,1,advertisement
2,0,1,6988,0,0,0,38,0,0,0,211,3256,1,0,0,0,0,0,0,0,6988,0,141,114,28,5,0,0,advertisement
2,1,1,6436,0,0,0,34,1,0,1,198,2997,1,0,0,0,1,0,0,0,6436,0,169,108,29,1,1,1,advertisement
0,0,0,322,0,0,0,3,0,0,0,31,71,1,0,0,0,0,0,0,0,322,0,13,4,29,0,0,0,advertisement
1,0,1,910,0,0,1,0,0,0,0,165,417,1,0,1,0,0,0,0,0,910,0,39,12,108,3,0,0,advertisement
3,1,0,2277,0,0,0,0,0,1,0,74,1340,1,0,35,0,1,0,0,0,2277,1,228,34,59,12,0,1,advertisement
1,1,1,919,0,0,0,1,0,0,0,53,438,1,0,1,0,1,0,0,0,919,0,51,12,81,1,0,1,advertisement
3,1,0,1233,0,0,0,1,0,0,0,76,698,1,0,4,0,0,0,0,0,1233,0,134,9,54,8,0,1,advertisement
3,1,0,1412,0,0,0,0,1,0,1,101,836,1,0,0,0,1,0,0,0,1412,0,196,20,32,18,1,1,advertisement
0,0,1,1925,0,0,0,4,0,0,0,154,1152,1,0,1,0,1,0,0,0,1925,0,76,44,31,3,1,0,advertisement
2,1,0,1201,0,0,0,0,0,0,0,78,677,1,0,4,0,0,0,0,0,1201,0,130,11,47,11,0,1,advertisement
11,0,1,3856,0,0,0,23,0,0,0,160,2015,1,0,2,0,1,0,0,0,3856,0,173,73,38,3,0,1,advertisement
1,1,0,3076,0,0,0,21,0,1,0,285,1310,1,0,4,0,1,0,0,0,3076,0,220,80,125,49,1,0,advertisement
2,0,1,5905,0,0,0,31,0,0,0,147,2742,1,0,0,0,0,0,0,0,5905,0,125,96,24,5,0,0,advertisement
3,1,0,1467,0,0,0,0,1,0,1,106,871,1,0,0,0,1,0,0,0,1467,0,202,21,32,18,1,1,advertisement
0,0,0,3214,0,0,0,23,0,1,0,261,1445,1,0,3,0,1,0,0,0,3214,0,225,86,133,53,1,0,advertisement
11,1,1,3051,0,0,0,17,0,0,1,104,1590,1,0,1,0,1,0,0,0,3051,0,149,52,52,3,0,1,advertisement
3,1,0,1406,0,0,0,0,1,0,1,100,833,1,0,0,0,1,0,0,0,1406,0,194,20,26,18,1,1,advertisement
15,0,1,2060,0,0,0,7,0,1,0,424,842,1,0,1,0,1,0,0,0,2060,0,95,31,79,2,0,0,advertisement
3,1,0,1461,0,0,0,0,1,0,1,105,868,1,0,0,0,1,0,0,0,1461,0,200,21,26,18,1,1,advertisement
1,1,1,5671,0,1,0,27,0,1,0,69,2791,1,0,4,0,1,0,0,0,5671,0,200,102,39,12,0,1,advertisement
3,1,0,1407,0,0,0,0,1,0,1,100,832,1,0,0,0,1,0,0,0,1407,0,195,20,27,18,1,1,advertisement
1,0,0,2605,0,1,0,1,0,0,0,303,1645,1,0,6,0,0,0,0,0,2605,0,321,29,62,18,0,0,advertisement
1,0,0,315,0,0,0,3,0,0,0,29,63,1,0,0,0,0,0,0,0,315,0,13,4,22,0,0,0,advertisement
0,0,0,317,0,0,0,3,0,0,0,30,67,1,0,0,0,0,0,0,0,317,0,12,7,24,0,0,0,advertisement
1,0,1,862,0,0,0,1,0,0,0,59,391,1,0,1,0,1,0,0,0,862,0,45,10,54,1,0,1,advertisement
0,0,1,3641,0,1,0,5,0,0,0,632,1696,1,0,2,0,1,0,0,0,3641,0,142,47,57,15,0,0,advertisement
3,1,0,1462,0,0,0,0,1,0,1,105,867,1,0,0,0,1,0,0,0,1462,0,201,21,27,18,1,1,advertisement
1,1,1,833,0,0,0,1,0,0,0,46,375,1,0,1,0,1,0,0,0,833,0,43,10,46,1,0,1,advertisement
1,1,0,2703,0,0,0,15,0,1,0,267,1210,1,0,3,0,1,0,0,0,2703,0,200,60,156,36,1,0,advertisement
1,0,0,342,0,0,0,3,0,0,0,34,81,1,0,0,0,0,0,0,0,342,0,15,7,49,0,0,0,advertisement
1,0,1,922,0,0,1,0,0,0,0,184,402,1,0,2,0,0,0,0,0,922,0,45,11,120,3,0,0,advertisement
2,1,1,4135,0,0,0,16,0,1,0,86,2072,1,0,4,0,1,0,0,0,4135,0,217,68,61,6,0,1,advertisement
1,1,1,935,0,0,1,0,0,0,0,145,448,1,0,0,0,0,0,0,0,935,0,44,19,67,3,0,1,advertisement
3,1,0,1421,0,0,0,0,1,0,1,101,844,1,0,1,0,1,0,0,0,1421,0,196,20,40,18,1,1,advertisement
2,0,0,2856,0,1,0,0,1,1,0,73,1483,1,0,0,0,1,0,0,0,2856,0,599,32,73,20,0,0,advertisement
1,0,0,324,0,0,0,3,0,0,0,31,67,1,0,0,0,0,0,0,0,324,0,15,4,31,0,0,0,advertisement
5,0,1,3946,0,0,0,11,0,0,0,622,2200,1,0,4,0,0,0,0,0,3946,0,295,33,54,6,0,1,advertisement
2,1,0,1485,0,1,0,1,0,0,1,64,917,1,0,5,0,0,0,0,0,1485,0,155,9,48,4,0,0,advertisement
1,0,1,922,0,0,1,0,0,0,0,184,404,1,0,2,0,0,0,0,0,922,0,45,11,120,3,0,0,advertisement
0,0,0,2736,0,0,0,16,0,1,0,281,1162,1,0,5,0,1,0,0,0,2736,0,197,65,130,38,1,0,advertisement
5,0,1,3883,0,0,0,11,0,0,0,653,2154,1,0,2,0,0,0,0,0,3883,0,285,33,39,5,0,1,advertisement
1,0,0,534,0,0,0,0,0,0,0,56,202,1,0,0,0,1,0,0,0,534,0,48,5,26,5,1,0,advertisement
1,0,0,3769,0,0,0,26,0,1,0,255,1770,1,0,4,0,1,0,0,0,3769,0,283,96,115,62,1,0,advertisement
1,0,0,591,0,0,0,0,0,0,0,61,237,1,0,0,0,1,0,0,0,591,0,56,6,26,5,1,0,advertisement
3,1,0,1415,0,0,0,0,1,0,1,102,835,1,0,0,0,1,0,0,0,1415,0,196,21,35,19,1,1,advertisement
0,0,1,899,0,0,1,0,0,0,0,162,403,1,0,2,0,0,0,0,0,899,0,42,15,47,3,0,0,advertisement
2,0,1,6919,0,0,0,37,0,0,0,154,3178,1,0,0,0,0,0,0,0,6919,0,133,114,33,5,0,1,advertisement
3,1,0,3035,0,1,0,1,0,0,0,401,1882,1,0,8,0,0,0,0,0,3035,0,389,30,126,21,0,1,advertisement
9,0,1,1974,0,0,0,2,0,1,1,318,827,1,0,0,0,1,0,0,0,1974,0,60,22,28,3,1,1,advertisement
1,1,1,863,0,0,1,0,0,0,0,187,348,1,0,1,0,0,0,0,0,863,0,35,11,61,3,0,1,advertisement
9,0,1,1967,0,0,0,2,0,1,1,316,830,1,0,0,0,1,0,0,0,1967,0,58,22,35,3,1,0,advertisement
1,0,0,521,0,0,0,0,0,0,0,50,198,1,0,0,0,1,0,0,0,521,0,46,5,19,5,1,0,advertisement
0,0,0,327,0,0,0,3,0,0,0,31,76,1,0,0,0,0,0,0,0,327,0,13,4,34,1,0,0,advertisement
1,1,0,2664,0,1,0,2,0,0,0,391,1610,1,0,6,0,0,0,0,0,2664,0,317,28,64,16,0,0,advertisement
1,0,0,536,0,0,0,3,0,0,0,41,215,1,0,3,0,1,0,0,0,536,0,48,5,14,4,1,0,advertisement
